feature,abs_coef,coef
Delay_from_due_date,0.6547146483617655,0.6547146483617655
Num_of_Loan,0.5081530723329357,0.5081530723329357
monthly_surplus,0.3841404207868318,0.3841404207868318
loans_per_credit_card,0.3537168070372427,-0.3537168070372427
payment_stress,0.353630161812656,-0.353630161812656
Total_EMI_per_month,0.35236212394931227,0.35236212394931227
Outstanding_Debt,0.34058640942561624,0.34058640942561624
Changed_Credit_Limit,0.3197075075297561,-0.3197075075297561
Credit_History_Age,0.23099917483451984,-0.23099917483451984
Annual_Income,0.20729909142004926,-0.20729909142004926
Monthly_Balance,0.1706557191718081,0.1706557191718081
pb_spent_level,0.14478415248093632,-0.14478415248093632
Monthly_Inhand_Salary,0.13856160452403418,-0.13856160452403418
Interest_Rate,0.08708374784128811,-0.08708374784128811
Num_Credit_Card,0.07847625753603386,-0.07847625753603386
Amount_invested_monthly,0.0720262157431011,-0.0720262157431011
pb_payment_size,0.060953758217146874,-0.060953758217146874
savings_rate,0.06042110969217986,0.06042110969217986
Payment_of_Min_Amount_encoded,0.05385031700068921,0.05385031700068921
Occupation_encoded,0.04319607067711991,0.04319607067711991
Num_of_Delayed_Payment,0.04241622771772824,0.04241622771772824
Num_Credit_Inquiries,0.02945710120107807,0.02945710120107807
Credit_Mix_encoded,0.0276307074778928,-0.0276307074778928
debt_to_income,0.02709491574982944,-0.02709491574982944
Credit_Utilization_Ratio,0.015418829970575375,-0.015418829970575375
emi_to_salary,0.013703820241302194,-0.013703820241302194
Age,0.01131410547128782,0.01131410547128782
Num_Bank_Accounts,0.011008849670335379,0.011008849670335379
